Tabela de observabilidade - OPD 1.6m


Iluninação da lua: 30.2 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  |  rot  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
50000 Quaoar (2002 LM60)           	| RA, DEC 18 43 40.89 -14 53 31.2	| EL, AZ: 37.2  91.9 	| Mag: 18.8 	| moon_dis: 145.0
1143 Odysseus (1930 BH)            	| RA, DEC 11 44 22.97 -00 07 43.8	| EL, AZ: 37.1  287.9	| Mag: 16.3 	| moon_dis: 108.3
469442 (2002 GG166)                	| RA, DEC 19 03 56.08 -30 31 28.8	| EL, AZ: 35.8  112.2	| Mag: 20.0 	| moon_dis: 144.5
523671 (2013 FZ27)                 	| RA, DEC 11 07 21.12 -08 11 03.4	| EL, AZ: 32.1  274.3	| Mag: 21.1 	| moon_dis: 103.7
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-08-07 19:00 -- UTC: 2026-08-07 22:00
90568 Goibniu (2004 GV9)           	| RA, DEC 15 43 52.67 -23 55 21.3	| EL, AZ: 85.6  249.5	| Mag: 20.2 	| moon_dis: 170.1
559182 (2015 BZ518)                	| RA, DEC 15 40 42.05 -22 44 46.0	| EL, AZ: 85.1  265.5	| Mag: 21.6 	| moon_dis: 169.0
523705 (2014 HE200)                	| RA, DEC 15 49 29.65 -18 26 59.4	| EL, AZ: 85.1  323.5	| Mag: 22.0 	| moon_dis: 168.2
523692 (2014 EZ51)                 	| RA, DEC 16 06 25.32 -27 26 58.2	| EL, AZ: 84.9  168.3	| Mag: 21.3 	| moon_dis: 175.7
556004 (2014 HA200)                	| RA, DEC 15 42 46.32 -09 54 34.0	| EL, AZ: 76.6  339.1	| Mag: 21.3 	| moon_dis: 160.2
470308 (2007 JH43)                 	| RA, DEC 17 07 37.09 -27 50 16.2	| EL, AZ: 74.2  113.1	| Mag: 21.0 	| moon_dis: 170.6
471172 (2010 JC80)                 	| RA, DEC 17 25 14.28 -24 55 33.9	| EL, AZ: 70.8  101.4	| Mag: 21.3 	| moon_dis: 166.5
469506 (2003 FF128)                	| RA, DEC 17 26 22.90 -22 56 36.1	| EL, AZ: 70.5  95.4 	| Mag: 21.9 	| moon_dis: 165.7
278361 (2007 JJ43)                 	| RA, DEC 17 31 45.63 -24 58 13.9	| EL, AZ: 69.3  101.3	| Mag: 20.7 	| moon_dis: 165.0
120216 (2004 EW95)                 	| RA, DEC 16 09 16.37 -43 22 00.6	| EL, AZ: 69.0  176.1	| Mag: 21.2 	| moon_dis: 163.2
40314 (1999 KR16)                  	| RA, DEC 16 54 20.87 -03 03 37.2	| EL, AZ: 66.8  35.0 	| Mag: 21.1 	| moon_dis: 155.2
(2010 FX86)                        	| RA, DEC 15 03 11.35 -42 43 54.8	| EL, AZ: 66.3  207.5	| Mag: 21.3 	| moon_dis: 156.9
(2010 EL139)                       	| RA, DEC 14 25 52.37 -38 18 29.9	| EL, AZ: 64.1  226.7	| Mag: 21.4 	| moon_dis: 152.4
120132 (2003 FY128)                	| RA, DEC 14 07 45.20 -23 29 06.2	| EL, AZ: 63.8  262.0	| Mag: 21.1 	| moon_dis: 148.7
119951 (2002 KX14)                 	| RA, DEC 17 58 00.11 -23 33 11.2	| EL, AZ: 63.3  97.9 	| Mag: 20.7 	| moon_dis: 158.9
495613 (2015 FG345)                	| RA, DEC 14 44 12.22 -02 54 41.8	| EL, AZ: 62.9  313.2	| Mag: 21.5 	| moon_dis: 145.9
471143 Dziewanna (2010 EK139)      	| RA, DEC 15 07 50.41 -47 31 19.0	| EL, AZ: 62.7  200.0	| Mag: 19.6 	| moon_dis: 154.3
38628 Huya (2000 EB173)            	| RA, DEC 17 44 28.87 -07 42 19.0	| EL, AZ: 61.2  63.0 	| Mag: 19.6 	| moon_dis: 153.2
(2009 JE19)                        	| RA, DEC 15 16 36.25 +04 43 31.6	| EL, AZ: 60.7  336.4	| Mag: 21.5 	| moon_dis: 144.3
319 Leona (A891 TA)                	| RA, DEC 14 13 16.96 -05 58 13.9	| EL, AZ: 59.1  297.9	| Mag: 17.2 	| moon_dis: 142.2
471149 (2010 FB49)                 	| RA, DEC 14 26 58.21 -00 21 47.4	| EL, AZ: 58.0  310.4	| Mag: 21.7 	| moon_dis: 141.1
574372 (2010 JO179)                	| RA, DEC 17 03 36.84 +08 26 15.4	| EL, AZ: 55.6  27.7 	| Mag: 21.9 	| moon_dis: 143.5
28978 Ixion (2001 KX76)            	| RA, DEC 18 31 23.15 -32 32 30.7	| EL, AZ: 55.5  115.1	| Mag: 19.3 	| moon_dis: 152.2
174567 Varda (2003 MW12)           	| RA, DEC 17 55 30.65 -01 38 49.5	| EL, AZ: 55.4  56.8 	| Mag: 20.2 	| moon_dis: 146.8
661238 (2004 DA62)                 	| RA, DEC 14 07 19.49 -49 52 49.3	| EL, AZ: 54.6  212.0	| Mag: 20.4 	| moon_dis: 145.0
50000 Quaoar (2002 LM60)           	| RA, DEC 18 43 40.74 -14 53 31.7	| EL, AZ: 51.0  85.9 	| Mag: 18.8 	| moon_dis: 145.8
1437 Diomedes (1937 PB)            	| RA, DEC 13 09 23.18 -28 31 51.3	| EL, AZ: 50.8  251.7	| Mag: 16.2 	| moon_dis: 136.8
523713 (2014 JX80)                 	| RA, DEC 18 00 23.12 +05 08 27.6	| EL, AZ: 50.0  49.8 	| Mag: 21.9 	| moon_dis: 140.6
469442 (2002 GG166)                	| RA, DEC 19 03 55.65 -30 31 28.9	| EL, AZ: 48.7  111.1	| Mag: 20.0 	| moon_dis: 145.3
136108 Haumea (2003 EL61)          	| RA, DEC 14 37 26.78 +14 16 36.4	| EL, AZ: 47.8  328.5	| Mag: 17.3 	| moon_dis: 131.2
3548 Eurybates (1973 SO)           	| RA, DEC 13 19 28.28 -06 30 25.0	| EL, AZ: 47.8  285.7	| Mag: 18.0 	| moon_dis: 131.3
15094 Polymele (1999 WB2)          	| RA, DEC 13 23 19.58 -04 10 48.4	| EL, AZ: 47.5  289.4	| Mag: 20.0 	| moon_dis: 131.0
26375 (1999 DE9)                   	| RA, DEC 13 00 13.95 -13 18 47.3	| EL, AZ: 46.0  273.8	| Mag: 21.3 	| moon_dis: 130.2
1583 Antilochus (1950 SA)          	| RA, DEC 13 00 00.61 -13 17 26.3	| EL, AZ: 45.9  273.8	| Mag: 16.6 	| moon_dis: 130.2
588 Achilles (A906 DN)             	| RA, DEC 12 42 50.98 -14 17 32.2	| EL, AZ: 42.3  270.7	| Mag: 16.3 	| moon_dis: 126.8
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 44 28.42 -10 14 09.9	| EL, AZ: 41.3  276.0	| Mag: 18.6 	| moon_dis: 125.4
307261 Mani (2002 MS4)             	| RA, DEC 19 13 23.39 -04 51 41.7	| EL, AZ: 40.5  76.4 	| Mag: 20.3 	| moon_dis: 134.4
11351 Leucus (1997 TS25)           	| RA, DEC 12 35 44.46 -12 38 41.9	| EL, AZ: 40.1  272.1	| Mag: 19.1 	| moon_dis: 124.5
3793 Leonteus (1985 TE3)           	| RA, DEC 12 46 11.90 -04 30 11.3	| EL, AZ: 39.5  283.2	| Mag: 16.8 	| moon_dis: 123.2
3063 Makhaon (1983 PV)             	| RA, DEC 12 24 05.35 -14 40 46.6	| EL, AZ: 38.1  268.5	| Mag: 16.4 	| moon_dis: 122.7
4063 Euforbo (1989 CG2)            	| RA, DEC 13 17 20.84 +10 46 18.7	| EL, AZ: 37.8  305.0	| Mag: 16.9 	| moon_dis: 120.8
32532 Thereus (2001 PT13)          	| RA, DEC 12 32 22.49 -07 24 19.0	| EL, AZ: 37.5  278.0	| Mag: 19.9 	| moon_dis: 121.5
95626 (2002 GZ32)                  	| RA, DEC 19 58 06.97 -23 41 53.5	| EL, AZ: 36.0  103.6	| Mag: 19.9 	| moon_dis: 132.2
470309 (2007 JK43)                 	| RA, DEC 18 48 16.15 +16 50 54.9	| EL, AZ: 33.4  49.4 	| Mag: 21.7 	| moon_dis: 124.3
624 Hektor (A907 CF)               	| RA, DEC 12 05 11.48 -09 59 44.1	| EL, AZ: 32.2  272.1	| Mag: 15.3 	| moon_dis: 116.6
136472 Makemake (2005 FY9)         	| RA, DEC 13 22 52.96 +20 25 49.7	| EL, AZ: 32.2  314.8	| Mag: 17.1 	| moon_dis: 115.2
(2014 YA50)                        	| RA, DEC 12 44 28.02 +11 50 04.7	| EL, AZ: 30.7  300.1	| Mag: 20.8 	| moon_dis: 113.8
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-08-07 20:00 -- UTC: 2026-08-07 23:00
470308 (2007 JH43)                 	| RA, DEC 17 07 36.98 -27 50 16.0	| EL, AZ: 84.5  166.7	| Mag: 21.0 	| moon_dis: 171.5
469506 (2003 FF128)                	| RA, DEC 17 26 22.76 -22 56 36.1	| EL, AZ: 84.4  95.6 	| Mag: 21.9 	| moon_dis: 166.5
471172 (2010 JC80)                 	| RA, DEC 17 25 14.14 -24 55 33.7	| EL, AZ: 84.1  115.5	| Mag: 21.3 	| moon_dis: 167.3
278361 (2007 JJ43)                 	| RA, DEC 17 31 45.51 -24 58 13.6	| EL, AZ: 82.7  111.3	| Mag: 20.7 	| moon_dis: 165.8
119951 (2002 KX14)                 	| RA, DEC 17 57 59.96 -23 33 11.2	| EL, AZ: 77.1  97.3 	| Mag: 20.7 	| moon_dis: 159.7
523692 (2014 EZ51)                 	| RA, DEC 16 06 25.28 -27 26 57.9	| EL, AZ: 76.5  245.5	| Mag: 21.3 	| moon_dis: 174.9
523705 (2014 HE200)                	| RA, DEC 15 49 29.64 -18 26 59.4	| EL, AZ: 72.6  279.9	| Mag: 22.0 	| moon_dis: 167.5
38628 Huya (2000 EB173)            	| RA, DEC 17 44 28.72 -07 42 20.0	| EL, AZ: 72.0  36.2 	| Mag: 19.6 	| moon_dis: 153.8
90568 Goibniu (2004 GV9)           	| RA, DEC 15 43 52.66 -23 55 20.8	| EL, AZ: 72.0  261.5	| Mag: 20.2 	| moon_dis: 169.3
559182 (2015 BZ518)                	| RA, DEC 15 40 42.04 -22 44 45.8	| EL, AZ: 71.3  265.1	| Mag: 21.6 	| moon_dis: 168.2
40314 (1999 KR16)                  	| RA, DEC 16 54 20.78 -03 03 38.1	| EL, AZ: 70.5  354.1	| Mag: 21.1 	| moon_dis: 155.4
28978 Ixion (2001 KX76)            	| RA, DEC 18 31 22.95 -32 32 30.6	| EL, AZ: 67.8  121.6	| Mag: 19.3 	| moon_dis: 153.0
556004 (2014 HA200)                	| RA, DEC 15 42 46.31 -09 54 34.4	| EL, AZ: 67.2  300.2	| Mag: 21.3 	| moon_dis: 159.7
120216 (2004 EW95)                 	| RA, DEC 16 09 16.31 -43 21 59.0	| EL, AZ: 66.4  204.3	| Mag: 21.2 	| moon_dis: 163.1
174567 Varda (2003 MW12)           	| RA, DEC 17 55 30.54 -01 38 50.4	| EL, AZ: 65.4  33.7 	| Mag: 20.2 	| moon_dis: 147.3
50000 Quaoar (2002 LM60)           	| RA, DEC 18 43 40.58 -14 53 32.2	| EL, AZ: 64.8  76.8 	| Mag: 18.8 	| moon_dis: 146.5
469442 (2002 GG166)                	| RA, DEC 19 03 55.21 -30 31 28.9	| EL, AZ: 61.7  112.8	| Mag: 20.0 	| moon_dis: 146.1
574372 (2010 JO179)                	| RA, DEC 17 03 36.78 +08 26 14.4	| EL, AZ: 59.1  0.6  	| Mag: 21.9 	| moon_dis: 143.7
523713 (2014 JX80)                 	| RA, DEC 18 00 22.99 +05 08 26.3	| EL, AZ: 58.9  28.9 	| Mag: 21.9 	| moon_dis: 141.1
(2010 FX86)                        	| RA, DEC 15 03 11.38 -42 43 53.5	| EL, AZ: 58.1  223.4	| Mag: 21.3 	| moon_dis: 156.4
471143 Dziewanna (2010 EK139)      	| RA, DEC 15 07 50.46 -47 31 17.1	| EL, AZ: 56.1  215.2	| Mag: 19.6 	| moon_dis: 154.0
307261 Mani (2002 MS4)             	| RA, DEC 19 13 23.23 -04 51 42.4	| EL, AZ: 53.7  65.7 	| Mag: 20.3 	| moon_dis: 135.1
(2010 EL139)                       	| RA, DEC 14 25 52.46 -38 18 28.8	| EL, AZ: 53.2  235.3	| Mag: 21.4 	| moon_dis: 151.8
(2009 JE19)                        	| RA, DEC 15 16 36.29 +04 43 29.6	| EL, AZ: 52.5  313.2	| Mag: 21.5 	| moon_dis: 143.8
495613 (2015 FG345)                	| RA, DEC 14 44 12.25 -02 54 43.1	| EL, AZ: 51.3  295.2	| Mag: 21.5 	| moon_dis: 145.2
120132 (2003 FY128)                	| RA, DEC 14 07 45.29 -23 29 06.1	| EL, AZ: 50.0  259.6	| Mag: 21.1 	| moon_dis: 147.9
95626 (2002 GZ32)                  	| RA, DEC 19 58 06.56 -23 41 55.0	| EL, AZ: 49.6  100.5	| Mag: 19.9 	| moon_dis: 133.0
661238 (2004 DA62)                 	| RA, DEC 14 07 20.58 -49 52 48.1	| EL, AZ: 46.3  219.9	| Mag: 20.4 	| moon_dis: 144.5
471149 (2010 FB49)                 	| RA, DEC 14 26 58.32 -00 21 48.9	| EL, AZ: 46.3  294.9	| Mag: 21.7 	| moon_dis: 140.4
319 Leona (A891 TA)                	| RA, DEC 14 13 18.32 -05 58 22.8	| EL, AZ: 46.1  285.4	| Mag: 17.2 	| moon_dis: 141.4
470309 (2007 JK43)                 	| RA, DEC 18 48 15.90 +16 50 53.2	| EL, AZ: 42.8  35.6 	| Mag: 21.7 	| moon_dis: 124.7
136108 Haumea (2003 EL61)          	| RA, DEC 14 37 26.81 +14 16 34.7	| EL, AZ: 39.0  312.5	| Mag: 17.3 	| moon_dis: 130.6
55576 Amycus (2002 GB10)           	| RA, DEC 20 42 58.68 -20 04 12.6	| EL, AZ: 38.7  98.1 	| Mag: 21.5 	| moon_dis: 122.0
1437 Diomedes (1937 PB)            	| RA, DEC 13 09 24.74 -28 31 52.7	| EL, AZ: 37.7  250.4	| Mag: 16.2 	| moon_dis: 136.0
3548 Eurybates (1973 SO)           	| RA, DEC 13 19 29.50 -06 30 34.5	| EL, AZ: 34.2  277.5	| Mag: 18.0 	| moon_dis: 130.5
15094 Polymele (1999 WB2)          	| RA, DEC 13 23 20.73 -04 10 59.2	| EL, AZ: 34.1  280.5	| Mag: 20.0 	| moon_dis: 130.2
678191 (2017 OF69)                 	| RA, DEC 20 47 51.36 -03 23 32.5	| EL, AZ: 32.1  79.2 	| Mag: 20.6 	| moon_dis: 114.1
26375 (1999 DE9)                   	| RA, DEC 13 00 14.09 -13 18 47.8	| EL, AZ: 32.1  267.9	| Mag: 21.3 	| moon_dis: 129.4
1583 Antilochus (1950 SA)          	| RA, DEC 13 00 02.12 -13 17 27.6	| EL, AZ: 32.1  267.9	| Mag: 16.6 	| moon_dis: 129.4
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-08-07 21:00 -- UTC: 2026-08-08 00:00
119951 (2002 KX14)                 	| RA, DEC 17 57 59.81 -23 33 11.2	| EL, AZ: 88.6  222.5	| Mag: 20.7 	| moon_dis: 160.5
278361 (2007 JJ43)                 	| RA, DEC 17 31 45.39 -24 58 13.3	| EL, AZ: 82.6  249.0	| Mag: 20.7 	| moon_dis: 166.7
469506 (2003 FF128)                	| RA, DEC 17 26 22.62 -22 56 36.0	| EL, AZ: 81.8  265.3	| Mag: 21.9 	| moon_dis: 167.2
471172 (2010 JC80)                 	| RA, DEC 17 25 14.01 -24 55 33.5	| EL, AZ: 81.2  252.2	| Mag: 21.3 	| moon_dis: 168.1
28978 Ixion (2001 KX76)            	| RA, DEC 18 31 22.76 -32 32 30.5	| EL, AZ: 78.1  148.5	| Mag: 19.3 	| moon_dis: 153.8
50000 Quaoar (2002 LM60)           	| RA, DEC 18 43 40.42 -14 53 32.6	| EL, AZ: 77.5  53.8 	| Mag: 18.8 	| moon_dis: 147.3
470308 (2007 JH43)                 	| RA, DEC 17 07 36.88 -27 50 15.7	| EL, AZ: 76.6  243.8	| Mag: 21.0 	| moon_dis: 172.3
38628 Huya (2000 EB173)            	| RA, DEC 17 44 28.57 -07 42 21.0	| EL, AZ: 74.6  343.2	| Mag: 19.6 	| moon_dis: 154.3
469442 (2002 GG166)                	| RA, DEC 19 03 54.78 -30 31 28.9	| EL, AZ: 74.1  123.2	| Mag: 20.0 	| moon_dis: 146.9
174567 Varda (2003 MW12)           	| RA, DEC 17 55 30.42 -01 38 51.2	| EL, AZ: 69.0  355.2	| Mag: 20.2 	| moon_dis: 147.8
307261 Mani (2002 MS4)             	| RA, DEC 19 13 23.07 -04 51 43.1	| EL, AZ: 65.3  46.7 	| Mag: 20.3 	| moon_dis: 135.8
40314 (1999 KR16)                  	| RA, DEC 16 54 20.70 -03 03 39.0	| EL, AZ: 64.5  317.3	| Mag: 21.1 	| moon_dis: 155.5
523692 (2014 EZ51)                 	| RA, DEC 16 06 25.24 -27 26 57.6	| EL, AZ: 63.4  253.2	| Mag: 21.3 	| moon_dis: 174.1
95626 (2002 GZ32)                  	| RA, DEC 19 58 06.15 -23 41 56.5	| EL, AZ: 63.3  98.1 	| Mag: 19.9 	| moon_dis: 133.9
523713 (2014 JX80)                 	| RA, DEC 18 00 22.85 +05 08 25.0	| EL, AZ: 62.3  358.9	| Mag: 21.9 	| moon_dis: 141.5
120216 (2004 EW95)                 	| RA, DEC 16 09 16.24 -43 21 57.4	| EL, AZ: 58.7  221.3	| Mag: 21.2 	| moon_dis: 163.0
523705 (2014 HE200)                	| RA, DEC 15 49 29.63 -18 26 59.3	| EL, AZ: 58.7  271.2	| Mag: 22.0 	| moon_dis: 166.8
90568 Goibniu (2004 GV9)           	| RA, DEC 15 43 52.64 -23 55 20.2	| EL, AZ: 58.3  260.4	| Mag: 20.2 	| moon_dis: 168.5
559182 (2015 BZ518)                	| RA, DEC 15 40 42.02 -22 44 45.7	| EL, AZ: 57.4  262.5	| Mag: 21.6 	| moon_dis: 167.4
574372 (2010 JO179)                	| RA, DEC 17 03 36.72 +08 26 13.3	| EL, AZ: 55.9  333.4	| Mag: 21.9 	| moon_dis: 143.7
556004 (2014 HA200)                	| RA, DEC 15 42 46.30 -09 54 34.9	| EL, AZ: 54.4  284.9	| Mag: 21.3 	| moon_dis: 159.2
55576 Amycus (2002 GB10)           	| RA, DEC 20 42 58.34 -20 04 13.6	| EL, AZ: 52.6  93.8 	| Mag: 21.5 	| moon_dis: 122.9
470309 (2007 JK43)                 	| RA, DEC 18 48 15.66 +16 50 51.5	| EL, AZ: 49.0  16.8 	| Mag: 21.7 	| moon_dis: 125.2
(2010 FX86)                        	| RA, DEC 15 03 11.41 -42 43 52.2	| EL, AZ: 47.9  230.3	| Mag: 21.3 	| moon_dis: 155.9
471143 Dziewanna (2010 EK139)      	| RA, DEC 15 07 50.52 -47 31 15.3	| EL, AZ: 47.3  223.1	| Mag: 19.6 	| moon_dis: 153.6
678191 (2017 OF69)                 	| RA, DEC 20 47 51.17 -03 23 33.4	| EL, AZ: 45.6  70.5 	| Mag: 20.6 	| moon_dis: 114.9
(2010 EL139)                       	| RA, DEC 14 25 52.55 -38 18 27.6	| EL, AZ: 41.5  237.9	| Mag: 21.4 	| moon_dis: 151.2
(2009 JE19)                        	| RA, DEC 15 16 36.32 +04 43 27.5	| EL, AZ: 41.2  298.7	| Mag: 21.5 	| moon_dis: 143.2
495613 (2015 FG345)                	| RA, DEC 14 44 12.28 -02 54 44.5	| EL, AZ: 38.2  284.7	| Mag: 21.5 	| moon_dis: 144.5
661238 (2004 DA62)                 	| RA, DEC 14 07 21.66 -49 52 46.9	| EL, AZ: 37.0  223.4	| Mag: 20.4 	| moon_dis: 144.1
120132 (2003 FY128)                	| RA, DEC 14 07 45.37 -23 29 06.0	| EL, AZ: 36.5  256.5	| Mag: 21.1 	| moon_dis: 147.1
10199 Chariklo (1997 CU26)         	| RA, DEC 21 32 34.71 -03 43 26.9	| EL, AZ: 35.8  77.6 	| Mag: 19.0 	| moon_dis: 105.1
471149 (2010 FB49)                 	| RA, DEC 14 26 58.43 -00 21 50.5	| EL, AZ: 33.2  285.1	| Mag: 21.7 	| moon_dis: 139.6
319 Leona (A891 TA)                	| RA, DEC 14 13 19.68 -05 58 31.8	| EL, AZ: 32.5  277.4	| Mag: 17.2 	| moon_dis: 140.7
470599 (2008 OG19)                 	| RA, DEC 21 55 43.11 -08 30 50.5	| EL, AZ: 32.4  85.6 	| Mag: 20.8 	| moon_dis: 102.1
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-08-07 22:00 -- UTC: 2026-08-08 01:00
469442 (2002 GG166)                	| RA, DEC 19 03 54.35 -30 31 28.9	| EL, AZ: 82.0  177.3	| Mag: 20.0 	| moon_dis: 147.7
50000 Quaoar (2002 LM60)           	| RA, DEC 18 43 40.26 -14 53 33.1	| EL, AZ: 81.1  329.2	| Mag: 18.8 	| moon_dis: 148.0
28978 Ixion (2001 KX76)            	| RA, DEC 18 31 22.56 -32 32 30.5	| EL, AZ: 77.9  212.6	| Mag: 19.3 	| moon_dis: 154.6
95626 (2002 GZ32)                  	| RA, DEC 19 58 05.74 -23 41 58.0	| EL, AZ: 77.1  97.6 	| Mag: 19.9 	| moon_dis: 134.7
119951 (2002 KX14)                 	| RA, DEC 17 57 59.67 -23 33 11.2	| EL, AZ: 75.2  262.9	| Mag: 20.7 	| moon_dis: 161.3
307261 Mani (2002 MS4)             	| RA, DEC 19 13 22.91 -04 51 43.8	| EL, AZ: 72.1  8.9  	| Mag: 20.3 	| moon_dis: 136.5
278361 (2007 JJ43)                 	| RA, DEC 17 31 45.27 -24 58 13.0	| EL, AZ: 69.2  258.7	| Mag: 20.7 	| moon_dis: 167.4
469506 (2003 FF128)                	| RA, DEC 17 26 22.48 -22 56 35.9	| EL, AZ: 67.9  264.2	| Mag: 21.9 	| moon_dis: 168.0
471172 (2010 JC80)                 	| RA, DEC 17 25 13.88 -24 55 33.4	| EL, AZ: 67.7  258.9	| Mag: 21.3 	| moon_dis: 168.9
55576 Amycus (2002 GB10)           	| RA, DEC 20 42 58.00 -20 04 14.6	| EL, AZ: 66.4  88.5 	| Mag: 21.5 	| moon_dis: 123.7
38628 Huya (2000 EB173)            	| RA, DEC 17 44 28.41 -07 42 22.0	| EL, AZ: 66.1  305.3	| Mag: 19.6 	| moon_dis: 154.7
470308 (2007 JH43)                 	| RA, DEC 17 07 36.77 -27 50 15.5	| EL, AZ: 63.6  252.4	| Mag: 21.0 	| moon_dis: 173.1
174567 Varda (2003 MW12)           	| RA, DEC 17 55 30.30 -01 38 52.1	| EL, AZ: 63.5  319.7	| Mag: 20.2 	| moon_dis: 148.2
523713 (2014 JX80)                 	| RA, DEC 18 00 22.71 +05 08 23.7	| EL, AZ: 58.4  329.3	| Mag: 21.9 	| moon_dis: 141.9
678191 (2017 OF69)                 	| RA, DEC 20 47 50.98 -03 23 34.2	| EL, AZ: 58.0  56.8 	| Mag: 20.6 	| moon_dis: 115.6
40314 (1999 KR16)                  	| RA, DEC 16 54 20.61 -03 03 39.9	| EL, AZ: 53.4  297.4	| Mag: 21.1 	| moon_dis: 155.5
470309 (2007 JK43)                 	| RA, DEC 18 48 15.41 +16 50 49.9	| EL, AZ: 50.4  354.6	| Mag: 21.7 	| moon_dis: 125.6
523692 (2014 EZ51)                 	| RA, DEC 16 06 25.21 -27 26 57.2	| EL, AZ: 50.1  253.5	| Mag: 21.3 	| moon_dis: 173.3
10199 Chariklo (1997 CU26)         	| RA, DEC 21 32 34.25 -03 43 28.2	| EL, AZ: 49.0  68.0 	| Mag: 19.0 	| moon_dis: 105.9
120216 (2004 EW95)                 	| RA, DEC 16 09 16.18 -43 21 55.8	| EL, AZ: 48.8  229.0	| Mag: 21.2 	| moon_dis: 162.9
574372 (2010 JO179)                	| RA, DEC 17 03 36.65 +08 26 12.3	| EL, AZ: 47.5  313.4	| Mag: 21.9 	| moon_dis: 143.8
470599 (2008 OG19)                 	| RA, DEC 21 55 42.92 -08 30 51.6	| EL, AZ: 46.1  78.2 	| Mag: 20.8 	| moon_dis: 102.9
523705 (2014 HE200)                	| RA, DEC 15 49 29.62 -18 26 59.3	| EL, AZ: 44.9  265.8	| Mag: 22.0 	| moon_dis: 166.1
90568 Goibniu (2004 GV9)           	| RA, DEC 15 43 52.63 -23 55 19.7	| EL, AZ: 44.6  257.9	| Mag: 20.2 	| moon_dis: 167.7
559182 (2015 BZ518)                	| RA, DEC 15 40 42.01 -22 44 45.6	| EL, AZ: 43.7  259.4	| Mag: 21.6 	| moon_dis: 166.6
556004 (2014 HA200)                	| RA, DEC 15 42 46.28 -09 54 35.4	| EL, AZ: 40.7  276.3	| Mag: 21.3 	| moon_dis: 158.6
225088 Gonggong (2007 OR10)        	| RA, DEC 22 31 33.87 -10 04 47.2	| EL, AZ: 38.5  84.8 	| Mag: 21.4 	| moon_dis: 95.7 
471143 Dziewanna (2010 EK139)      	| RA, DEC 15 07 50.57 -47 31 13.5	| EL, AZ: 37.4  226.4	| Mag: 19.6 	| moon_dis: 153.3
(2010 FX86)                        	| RA, DEC 15 03 11.44 -42 43 50.8	| EL, AZ: 37.0  232.5	| Mag: 21.3 	| moon_dis: 155.5
671467 (2014 LO28)                 	| RA, DEC 22 15 55.34 +12 09 53.4	| EL, AZ: 31.2  58.6 	| Mag: 21.3 	| moon_dis: 89.0 
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-08-07 23:00 -- UTC: 2026-08-08 02:00
95626 (2002 GZ32)                  	| RA, DEC 19 58 05.34 -23 41 59.6	| EL, AZ: 88.5  222.4	| Mag: 19.9 	| moon_dis: 135.4
55576 Amycus (2002 GB10)           	| RA, DEC 20 42 57.66 -20 04 15.6	| EL, AZ: 80.2  76.7 	| Mag: 21.5 	| moon_dis: 124.4
469442 (2002 GG166)                	| RA, DEC 19 03 53.91 -30 31 28.9	| EL, AZ: 74.7  235.6	| Mag: 20.0 	| moon_dis: 148.5
50000 Quaoar (2002 LM60)           	| RA, DEC 18 43 40.10 -14 53 33.5	| EL, AZ: 69.8  288.9	| Mag: 18.8 	| moon_dis: 148.7
307261 Mani (2002 MS4)             	| RA, DEC 19 13 22.76 -04 51 44.5	| EL, AZ: 68.7  324.3	| Mag: 20.3 	| moon_dis: 137.2
678191 (2017 OF69)                 	| RA, DEC 20 47 50.79 -03 23 35.1	| EL, AZ: 67.9  31.3 	| Mag: 20.6 	| moon_dis: 116.4
28978 Ixion (2001 KX76)            	| RA, DEC 18 31 22.37 -32 32 30.4	| EL, AZ: 67.6  238.6	| Mag: 19.3 	| moon_dis: 155.4
119951 (2002 KX14)                 	| RA, DEC 17 57 59.52 -23 33 11.2	| EL, AZ: 61.4  261.8	| Mag: 20.7 	| moon_dis: 162.0
10199 Chariklo (1997 CU26)         	| RA, DEC 21 32 33.80 -03 43 29.5	| EL, AZ: 61.2  52.3 	| Mag: 19.0 	| moon_dis: 106.7
470599 (2008 OG19)                 	| RA, DEC 21 55 42.73 -08 30 52.8	| EL, AZ: 59.4  67.0 	| Mag: 20.8 	| moon_dis: 103.7
278361 (2007 JJ43)                 	| RA, DEC 17 31 45.15 -24 58 12.7	| EL, AZ: 55.5  258.2	| Mag: 20.7 	| moon_dis: 168.2
469506 (2003 FF128)                	| RA, DEC 17 26 22.34 -22 56 35.9	| EL, AZ: 54.1  261.5	| Mag: 21.9 	| moon_dis: 168.6
471172 (2010 JC80)                 	| RA, DEC 17 25 13.75 -24 55 33.2	| EL, AZ: 54.1  258.1	| Mag: 21.3 	| moon_dis: 169.6
