Tabela de observabilidade - Cinturão Principal - Zeiss


Iluninação da lua: 5.5 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                    |  mag  |  rot  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
362 Havnia (A893 EG)               	| RA, DEC 14 35 27.65 -21 32 16.5	| EL, AZ: 65.8  75.2 	| Mag: 13.9 	| moon_dis: 75.8 
374 Burgundia (A893 SA)            	| RA, DEC 13 41 13.48 -08 27 09.5	| EL, AZ: 65.8  29.1 	| Mag: 13.7 	| moon_dis: 58.9 
135 Hertha (A874 DA)               	| RA, DEC 14 28 30.68 -17 48 21.1	| EL, AZ: 65.4  65.4 	| Mag: 12.4 	| moon_dis: 73.0 
79 Eurynome (A863 RA)              	| RA, DEC 14 09 03.08 -10 28 15.7	| EL, AZ: 63.8  45.3 	| Mag: 13.0 	| moon_dis: 66.1 
116 Sirona (A871 RA)               	| RA, DEC 14 26 21.09 -14 14 21.2	| EL, AZ: 63.6  58.1 	| Mag: 12.7 	| moon_dis: 71.3 
204 Kallisto (A879 TA)             	| RA, DEC 12 53 34.98 -03 24 03.5	| EL, AZ: 63.3  359.4	| Mag: 13.7 	| moon_dis: 46.1 
20 Massalia (A852 SA)              	| RA, DEC 12 31 59.35 -03 22 24.9	| EL, AZ: 62.7  347.5	| Mag: 11.5 	| moon_dis: 41.1 
144 Vibilia (A875 LA)              	| RA, DEC 14 24 58.74 -12 27 52.2	| EL, AZ: 62.7  54.7 	| Mag: 13.4 	| moon_dis: 70.4 
69 Hesperia (A861 HC)              	| RA, DEC 13 24 31.72 -03 17 13.3	| EL, AZ: 62.3  16.2 	| Mag: 12.9 	| moon_dis: 53.3 
70 Panopaea (A861 JA)              	| RA, DEC 14 57 24.66 -24 07 53.1	| EL, AZ: 62.1  85.1 	| Mag: 12.1 	| moon_dis: 81.4 
122 Gerda (A872 OA)                	| RA, DEC 12 24 52.18 -01 56 10.3	| EL, AZ: 61.0  344.5	| Mag: 13.7 	| moon_dis: 38.9 
120 Lachesis (A872 GB)             	| RA, DEC 11 52 52.41 -03 27 07.4	| EL, AZ: 59.6  328.3	| Mag: 13.6 	| moon_dis: 32.4 
238 Hypatia (A884 NA)              	| RA, DEC 12 45 46.06 +00 38 54.9	| EL, AZ: 59.2  355.6	| Mag: 14.0 	| moon_dis: 42.8 
498 Tokio (A902 XA)                	| RA, DEC 14 38 10.19 -08 23 25.2	| EL, AZ: 57.5  53.4 	| Mag: 13.6 	| moon_dis: 72.3 
466 Tisiphone (A901 BB)            	| RA, DEC 15 28 54.64 -34 02 37.9	| EL, AZ: 57.3  107.1	| Mag: 13.8 	| moon_dis: 90.9 
270 Anahita (A887 TA)              	| RA, DEC 11 50 53.46 -00 53 17.2	| EL, AZ: 57.1  329.6	| Mag: 14.0 	| moon_dis: 30.7 
694 Ekard (A909 VC)                	| RA, DEC 14 50 11.17 -10 14 34.3	| EL, AZ: 56.6  59.6 	| Mag: 13.7 	| moon_dis: 75.6 
35 Leukothea (A855 HA)             	| RA, DEC 11 41 31.83 -01 20 38.7	| EL, AZ: 56.4  325.4	| Mag: 13.7 	| moon_dis: 28.9 
19 Fortuna (A852 QA)               	| RA, DEC 11 52 45.14 +00 24 48.7	| EL, AZ: 56.1  331.4	| Mag: 13.2 	| moon_dis: 30.6 
65 Cybele (A861 EB)                	| RA, DEC 12 02 12.99 +02 07 47.6	| EL, AZ: 55.4  336.4	| Mag: 13.1 	| moon_dis: 32.1 
363 Padua (A893 FD)                	| RA, DEC 15 29 10.84 -20 07 30.7	| EL, AZ: 53.8  83.2 	| Mag: 13.8 	| moon_dis: 87.3 
88 Thisbe (A866 LA)                	| RA, DEC 11 23 27.73 -01 03 10.6	| EL, AZ: 53.8  319.0	| Mag: 13.2 	| moon_dis: 24.9 
776 Berbericia (A914 BE)           	| RA, DEC 15 10 55.38 -11 50 49.6	| EL, AZ: 53.5  67.3 	| Mag: 13.1 	| moon_dis: 81.0 
29 Amphitrite (A854 EB)            	| RA, DEC 15 43 46.49 -28 08 57.2	| EL, AZ: 53.2  97.8 	| Mag: 10.5 	| moon_dis: 92.5 
563 Suleika (A905 GD)              	| RA, DEC 15 19 06.59 -14 14 13.1	| EL, AZ: 53.2  72.5 	| Mag: 14.0 	| moon_dis: 83.5 
7 Iris (A847 PA)                   	| RA, DEC 11 18 25.17 -00 26 43.2	| EL, AZ: 52.6  317.9	| Mag: 11.4 	| moon_dis: 23.5 
92 Undina (A867 NA)                	| RA, DEC 15 13 22.70 -10 37 36.7	| EL, AZ: 52.3  66.3 	| Mag: 12.2 	| moon_dis: 81.2 
556 Phyllis (A905 AD)              	| RA, DEC 15 44 10.43 -23 19 42.6	| EL, AZ: 51.8  90.2 	| Mag: 14.0 	| moon_dis: 91.5 
269 Justitia (A887 SA)             	| RA, DEC 15 14 33.58 -09 53 25.8	| EL, AZ: 51.7  65.6 	| Mag: 13.2 	| moon_dis: 81.3 
346 Hermentaria (A892 WC)          	| RA, DEC 15 27 58.99 -14 41 53.5	| EL, AZ: 51.6  75.0 	| Mag: 12.4 	| moon_dis: 85.7 
674 Rachele (A908 UK)              	| RA, DEC 15 52 19.56 -25 23 30.9	| EL, AZ: 50.6  94.3 	| Mag: 13.0 	| moon_dis: 93.8 
1048 Feodosia (A924 WQ)            	| RA, DEC 16 11 13.62 -35 21 41.5	| EL, AZ: 48.7  110.7	| Mag: 13.2 	| moon_dis: 99.6 
559 Nanon (A905 EB)                	| RA, DEC 15 33 37.27 -11 14 18.5	| EL, AZ: 48.6  71.5 	| Mag: 13.9 	| moon_dis: 86.2 
123 Brunhild (A872 OB)             	| RA, DEC 16 04 58.78 -27 20 01.5	| EL, AZ: 48.5  98.4 	| Mag: 13.9 	| moon_dis: 96.9 
804 Hispania (A915 FK)             	| RA, DEC 16 14 47.21 -43 38 00.1	| EL, AZ: 48.4  123.2	| Mag: 12.2 	| moon_dis: 101.4
156 Xanthippe (A875 WA)            	| RA, DEC 10 52 31.53 -00 00 03.6	| EL, AZ: 48.2  310.3	| Mag: 13.7 	| moon_dis: 18.3 
21 Lutetia (A852 VA)               	| RA, DEC 15 57 10.06 -20 35 48.8	| EL, AZ: 48.0  87.9 	| Mag: 11.1 	| moon_dis: 93.8 
472 Roma (A901 NA)                 	| RA, DEC 14 53 53.77 +01 30 06.6	| EL, AZ: 47.5  47.3 	| Mag: 13.9 	| moon_dis: 73.6 
127 Johanna (A872 VB)              	| RA, DEC 16 13 37.98 -30 09 33.7	| EL, AZ: 47.3  103.1	| Mag: 13.2 	| moon_dis: 99.3 
387 Aquitania (A894 EC)            	| RA, DEC 13 04 52.88 +12 35 30.6	| EL, AZ: 47.2  3.6  	| Mag: 12.4 	| moon_dis: 45.1 
24 Themis (A853 GA)                	| RA, DEC 16 02 44.14 -21 20 31.2	| EL, AZ: 47.0  89.7 	| Mag: 12.5 	| moon_dis: 95.3 
11 Parthenope (A850 JA)            	| RA, DEC 11 25 26.86 +07 32 29.2	| EL, AZ: 46.7  326.7	| Mag: 12.2 	| moon_dis: 21.7 
481 Emita (A902 CB)                	| RA, DEC 16 12 14.09 -24 08 35.8	| EL, AZ: 46.0  94.6 	| Mag: 13.9 	| moon_dis: 98.0 
469 Argentina (A901 DC)            	| RA, DEC 16 25 51.21 -36 32 39.9	| EL, AZ: 45.9  113.0	| Mag: 13.5 	| moon_dis: 102.7
173 Ino (A877 PA)                  	| RA, DEC 15 12 12.60 -00 11 32.1	| EL, AZ: 45.7  53.9 	| Mag: 13.5 	| moon_dis: 78.4 
67 Asia (A861 HA)                  	| RA, DEC 10 54 33.20 +04 54 04.5	| EL, AZ: 44.7  315.4	| Mag: 13.9 	| moon_dis: 15.6 
416 Vaticana (A896 JA)             	| RA, DEC 11 37 34.04 +11 16 09.9	| EL, AZ: 44.7  332.9	| Mag: 12.9 	| moon_dis: 23.9 
41 Daphne (A856 KA)                	| RA, DEC 11 10 33.35 +07 49 58.7	| EL, AZ: 44.6  322.4	| Mag: 12.4 	| moon_dis: 18.1 
108 Hecuba (A869 GB)               	| RA, DEC 16 26 04.38 -27 25 17.7	| EL, AZ: 44.0  100.4	| Mag: 13.0 	| moon_dis: 101.6
175 Andromache (A877 TA)           	| RA, DEC 16 27 29.49 -25 45 58.7	| EL, AZ: 43.2  98.3 	| Mag: 13.3 	| moon_dis: 101.6
103 Hera (A868 RA)                 	| RA, DEC 11 04 30.33 +09 19 30.9	| EL, AZ: 42.5  321.7	| Mag: 13.6 	| moon_dis: 16.2 
121 Hermione (A872 JA)             	| RA, DEC 16 26 52.28 -23 00 54.8	| EL, AZ: 42.4  94.7 	| Mag: 13.0 	| moon_dis: 101.1
44 Nysa (A857 KA)                  	| RA, DEC 10 56 47.46 +09 12 39.3	| EL, AZ: 41.6  319.5	| Mag: 11.4 	| moon_dis: 14.4 
97 Klotho (A868 DB)                	| RA, DEC 15 56 06.61 -05 22 04.0	| EL, AZ: 40.7  69.1 	| Mag: 13.4 	| moon_dis: 90.3 
304 Olga (A891 CB)                 	| RA, DEC 15 24 16.95 +04 02 32.3	| EL, AZ: 40.6  52.9 	| Mag: 14.0 	| moon_dis: 80.4 
48 Doris (A857 SA)                 	| RA, DEC 16 18 59.19 -13 04 41.3	| EL, AZ: 40.0  81.6 	| Mag: 12.5 	| moon_dis: 97.4 
28 Bellona (A854 EA)               	| RA, DEC 16 10 49.03 -09 26 38.0	| EL, AZ: 39.9  76.2 	| Mag: 12.2 	| moon_dis: 94.7 
660 Crescentia (A908 AN)           	| RA, DEC 15 39 09.83 +02 12 55.8	| EL, AZ: 39.2  58.0 	| Mag: 13.1 	| moon_dis: 84.5 
119 Althaea (A872 GA)              	| RA, DEC 16 27 28.85 -14 25 42.9	| EL, AZ: 38.8  84.4 	| Mag: 12.6 	| moon_dis: 99.7 
511 Davida (A903 KB)               	| RA, DEC 11 33 13.18 +17 24 11.9	| EL, AZ: 38.6  334.8	| Mag: 12.5 	| moon_dis: 23.0 
159 Aemilia (A876 BA)              	| RA, DEC 16 35 25.49 -15 37 16.4	| EL, AZ: 37.6  86.9 	| Mag: 13.7 	| moon_dis: 101.8
412 Elisabetha (A896 AB)           	| RA, DEC 16 33 41.16 -14 26 21.0	| EL, AZ: 37.5  85.3 	| Mag: 13.5 	| moon_dis: 101.2
148 Gallia (A875 PA)               	| RA, DEC 14 58 41.54 +13 10 45.5	| EL, AZ: 37.4  39.1 	| Mag: 13.3 	| moon_dis: 72.5 
337 Devosa (A892 SB)               	| RA, DEC 10 30 45.17 +09 35 44.6	| EL, AZ: 37.4  313.2	| Mag: 13.9 	| moon_dis: 8.2  
210 Isabella (A879 VA)             	| RA, DEC 17 01 31.06 -29 02 34.2	| EL, AZ: 37.0  105.4	| Mag: 14.0 	| moon_dis: 109.5
276 Adelheid (A888 HA)             	| RA, DEC 16 06 37.30 -00 56 14.7	| EL, AZ: 35.9  66.6 	| Mag: 14.0 	| moon_dis: 91.8 
82 Alkmene (A864 WA)               	| RA, DEC 10 25 50.38 +11 07 43.1	| EL, AZ: 35.4  313.3	| Mag: 13.1 	| moon_dis: 6.5  
231 Vindobona (A882 RB)            	| RA, DEC 17 12 55.67 -30 51 38.7	| EL, AZ: 35.2  108.4	| Mag: 13.4 	| moon_dis: 112.1
14 Irene (A851 KA)                 	| RA, DEC 17 07 50.86 -24 22 41.1	| EL, AZ: 34.1  100.5	| Mag: 10.3 	| moon_dis: 110.5
54 Alexandra (A858 RA)             	| RA, DEC 10 00 44.34 +07 23 46.7	| EL, AZ: 33.9  304.6	| Mag: 14.0 	| moon_dis: 5.4  
258 Tyche (A886 JA)                	| RA, DEC 16 30 27.43 -04 21 20.5	| EL, AZ: 33.1  74.1 	| Mag: 12.4 	| moon_dis: 98.4 
372 Palma (A893 QB)                	| RA, DEC 17 46 15.04 -48 31 02.5	| EL, AZ: 33.0  131.0	| Mag: 13.4 	| moon_dis: 117.1
31 Euphrosyne (A854 RA)            	| RA, DEC 18 00 43.20 -55 17 59.4	| EL, AZ: 31.8  139.3	| Mag: 12.7 	| moon_dis: 117.5
814 Tauris (A916 AE)               	| RA, DEC 17 19 33.34 -24 07 43.0	| EL, AZ: 31.5  101.4	| Mag: 13.8 	| moon_dis: 113.2
199 Byblis (A879 NA)               	| RA, DEC 17 25 02.31 -25 38 45.9	| EL, AZ: 30.9  103.6	| Mag: 12.4 	| moon_dis: 114.5
39 Laetitia (A856 CA)              	| RA, DEC 09 59 40.22 +12 29 40.6	| EL, AZ: 30.1  308.7	| Mag: 12.0 	| moon_dis: 0.3  
739 Mandeville (A913 CH)           	| RA, DEC 10 20 25.99 +18 42 16.9	| EL, AZ: 28.7  317.7	| Mag: 14.0 	| moon_dis: 7.7  
797 Montana (A914 WG)              	| RA, DEC 17 26 02.30 -18 50 05.5	| EL, AZ: 28.1  96.5 	| Mag: 13.9 	| moon_dis: 114.2
527 Euryanthe (A904 FC)            	| RA, DEC 17 21 40.68 -16 12 25.1	| EL, AZ: 27.9  93.3 	| Mag: 14.0 	| moon_dis: 112.9
160 Una (A876 DA)                  	| RA, DEC 17 51 23.51 -29 07 55.6	| EL, AZ: 26.7  109.7	| Mag: 13.4 	| moon_dis: 120.4
800 Kressmannia (A915 FG)          	| RA, DEC 17 55 33.29 -29 42 42.9	| EL, AZ: 26.1  110.7	| Mag: 12.9 	| moon_dis: 121.3
40 Harmonia (A856 FA)              	| RA, DEC 09 46 16.55 +16 21 32.7	| EL, AZ: 25.1  309.1	| Mag: 11.7 	| moon_dis: 4.9  
34 Circe (A855 GA)                 	| RA, DEC 09 30 02.12 +12 29 31.3	| EL, AZ: 24.9  303.0	| Mag: 13.9 	| moon_dis: 7.3  
780 Armenia (A914 BJ)              	| RA, DEC 17 10 48.07 -00 44 14.8	| EL, AZ: 22.6  76.9 	| Mag: 13.9 	| moon_dis: 107.4
785 Zwetana (A914 FD)              	| RA, DEC 18 27 55.77 -34 55 35.4	| EL, AZ: 21.7  118.8	| Mag: 12.6 	| moon_dis: 127.4
200 Dynamene (A879 OA)             	| RA, DEC 09 21 29.25 +15 12 53.8	| EL, AZ: 21.6  303.7	| Mag: 14.0 	| moon_dis: 9.6  
51 Nemausa (A858 BA)               	| RA, DEC 17 38 45.11 -07 16 40.2	| EL, AZ: 20.0  86.8 	| Mag: 11.2 	| moon_dis: 115.6
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-07-16 20:00 -- UTC: 2026-07-16 23:00
174 Phaedra (A877 RA)              	| RA, DEC 14 11 28.86 -29 11 54.2	| EL, AZ: 86.2  77.0 	| Mag: 12.9 	| moon_dis: 73.2 
704 Interamnia (A910 TC)           	| RA, DEC 13 47 27.48 -26 36 40.9	| EL, AZ: 86.2  334.9	| Mag: 12.5 	| moon_dis: 67.3 
362 Havnia (A893 EG)               	| RA, DEC 14 35 28.72 -21 32 20.7	| EL, AZ: 77.5  49.2 	| Mag: 13.9 	| moon_dis: 75.3 
154 Bertha (A875 VD)               	| RA, DEC 13 46 58.91 -17 37 35.9	| EL, AZ: 77.4  351.5	| Mag: 13.1 	| moon_dis: 63.3 
93 Minerva (A867 QA)               	| RA, DEC 13 34 02.68 -17 42 22.9	| EL, AZ: 76.7  338.0	| Mag: 12.6 	| moon_dis: 60.5 
135 Hertha (A874 DA)               	| RA, DEC 14 28 32.36 -17 48 26.5	| EL, AZ: 75.5  33.9 	| Mag: 12.4 	| moon_dis: 72.5 
70 Panopaea (A861 JA)              	| RA, DEC 14 57 25.70 -24 08 02.6	| EL, AZ: 74.8  70.5 	| Mag: 12.1 	| moon_dis: 80.9 
599 Luisa (A906 HF)                	| RA, DEC 13 52 45.60 -14 47 45.2	| EL, AZ: 74.7  358.1	| Mag: 13.8 	| moon_dis: 63.4 
116 Sirona (A871 RA)               	| RA, DEC 14 26 22.56 -14 14 31.3	| EL, AZ: 72.5  26.3 	| Mag: 12.7 	| moon_dis: 70.8 
13 Egeria (A850 VA)                	| RA, DEC 13 34 51.43 -11 58 52.6	| EL, AZ: 71.3  344.6	| Mag: 12.0 	| moon_dis: 58.3 
144 Vibilia (A875 LA)              	| RA, DEC 14 24 59.51 -12 28 00.0	| EL, AZ: 71.0  23.2 	| Mag: 13.4 	| moon_dis: 69.9 
79 Eurynome (A863 RA)              	| RA, DEC 14 09 04.29 -10 28 21.9	| EL, AZ: 70.1  10.3 	| Mag: 13.0 	| moon_dis: 65.6 
466 Tisiphone (A901 BB)            	| RA, DEC 15 28 55.02 -34 02 19.7	| EL, AZ: 69.7  107.2	| Mag: 13.8 	| moon_dis: 90.4 
374 Burgundia (A893 SA)            	| RA, DEC 13 41 15.77 -08 27 17.5	| EL, AZ: 68.1  351.0	| Mag: 13.7 	| moon_dis: 58.5 
790 Pretoria (A912 BE)             	| RA, DEC 12 30 11.36 -17 43 24.0	| EL, AZ: 67.1  297.9	| Mag: 14.0 	| moon_dis: 47.5 
363 Padua (A893 FD)                	| RA, DEC 15 29 11.00 -20 07 34.7	| EL, AZ: 66.5  70.3 	| Mag: 13.8 	| moon_dis: 86.9 
55 Pandora (A858 RB)               	| RA, DEC 13 01 10.96 -10 05 30.5	| EL, AZ: 66.4  325.2	| Mag: 13.7 	| moon_dis: 50.0 
233 Asterope (A883 JA)             	| RA, DEC 13 17 11.93 -08 07 09.3	| EL, AZ: 66.3  336.2	| Mag: 13.8 	| moon_dis: 52.8 
694 Ekard (A909 VC)                	| RA, DEC 14 50 12.07 -10 14 30.5	| EL, AZ: 66.3  35.9 	| Mag: 13.7 	| moon_dis: 75.2 
29 Amphitrite (A854 EB)            	| RA, DEC 15 43 46.46 -28 08 51.1	| EL, AZ: 66.2  92.0 	| Mag: 10.5 	| moon_dis: 92.0 
498 Tokio (A902 XA)                	| RA, DEC 14 38 11.06 -08 23 41.5	| EL, AZ: 66.0  27.2 	| Mag: 13.6 	| moon_dis: 71.8 
241 Germania (A884 RA)             	| RA, DEC 12 49 59.11 -10 22 37.5	| EL, AZ: 65.2  319.2	| Mag: 13.8 	| moon_dis: 47.7 
563 Suleika (A905 GD)              	| RA, DEC 15 19 06.49 -14 14 20.0	| EL, AZ: 64.9  55.3 	| Mag: 14.0 	| moon_dis: 83.1 
556 Phyllis (A905 AD)              	| RA, DEC 15 44 10.52 -23 19 36.4	| EL, AZ: 64.7  81.0 	| Mag: 14.0 	| moon_dis: 91.0 
776 Berbericia (A914 BE)           	| RA, DEC 15 10 55.34 -11 51 02.5	| EL, AZ: 64.6  48.1 	| Mag: 13.1 	| moon_dis: 80.5 
26 Proserpina (A853 JA)            	| RA, DEC 13 06 03.27 -06 47 39.8	| EL, AZ: 64.0  331.4	| Mag: 12.4 	| moon_dis: 49.7 
674 Rachele (A908 UK)              	| RA, DEC 15 52 19.05 -25 23 32.2	| EL, AZ: 63.6  86.8 	| Mag: 13.0 	| moon_dis: 93.3 
346 Hermentaria (A892 WC)          	| RA, DEC 15 27 59.01 -14 42 01.9	| EL, AZ: 63.6  59.4 	| Mag: 12.4 	| moon_dis: 85.2 
92 Undina (A867 NA)                	| RA, DEC 15 13 22.92 -10 37 47.4	| EL, AZ: 63.3  47.3 	| Mag: 12.2 	| moon_dis: 80.8 
269 Justitia (A887 SA)             	| RA, DEC 15 14 35.10 -09 53 41.1	| EL, AZ: 62.5  46.7 	| Mag: 13.2 	| moon_dis: 80.9 
69 Hesperia (A861 HC)              	| RA, DEC 13 24 33.62 -03 17 25.0	| EL, AZ: 62.3  343.6	| Mag: 12.9 	| moon_dis: 52.8 
123 Brunhild (A872 OB)             	| RA, DEC 16 04 58.31 -27 19 53.0	| EL, AZ: 61.4  92.5 	| Mag: 13.9 	| moon_dis: 96.4 
1048 Feodosia (A924 WQ)            	| RA, DEC 16 11 13.50 -35 21 45.1	| EL, AZ: 61.0  109.4	| Mag: 13.2 	| moon_dis: 99.1 
21 Lutetia (A852 VA)               	| RA, DEC 15 57 10.08 -20 35 52.5	| EL, AZ: 60.9  78.1 	| Mag: 11.1 	| moon_dis: 93.4 
559 Nanon (A905 EB)                	| RA, DEC 15 33 37.69 -11 14 33.7	| EL, AZ: 60.3  55.8 	| Mag: 13.9 	| moon_dis: 85.7 
127 Johanna (A872 VB)              	| RA, DEC 16 13 37.43 -30 09 29.7	| EL, AZ: 60.1  98.9 	| Mag: 13.2 	| moon_dis: 98.8 
24 Themis (A853 GA)                	| RA, DEC 16 02 43.84 -21 20 30.2	| EL, AZ: 60.0  80.6 	| Mag: 12.5 	| moon_dis: 94.8 
204 Kallisto (A879 TA)             	| RA, DEC 12 53 38.25 -03 24 18.8	| EL, AZ: 59.6  328.6	| Mag: 13.7 	| moon_dis: 45.6 
804 Hispania (A915 FK)             	| RA, DEC 16 14 46.68 -43 37 41.9	| EL, AZ: 59.2  125.7	| Mag: 12.2 	| moon_dis: 101.0
481 Emita (A902 CB)                	| RA, DEC 16 12 13.32 -24 08 37.4	| EL, AZ: 58.9  87.3 	| Mag: 13.9 	| moon_dis: 97.5 
15 Eunomia (A851 OA)               	| RA, DEC 12 00 21.89 -12 11 25.7	| EL, AZ: 58.0  297.8	| Mag: 11.3 	| moon_dis: 38.4 
469 Argentina (A901 DC)            	| RA, DEC 16 25 50.73 -36 32 26.2	| EL, AZ: 58.0  111.7	| Mag: 13.5 	| moon_dis: 102.2
20 Massalia (A852 SA)              	| RA, DEC 12 32 02.46 -03 22 44.5	| EL, AZ: 56.9  319.8	| Mag: 11.5 	| moon_dis: 40.6 
108 Hecuba (A869 GB)               	| RA, DEC 16 26 03.81 -27 25 12.7	| EL, AZ: 56.9  94.8 	| Mag: 13.0 	| moon_dis: 101.1
175 Andromache (A877 TA)           	| RA, DEC 16 27 28.76 -25 45 55.7	| EL, AZ: 56.1  92.1 	| Mag: 13.3 	| moon_dis: 101.1
121 Hermione (A872 JA)             	| RA, DEC 16 26 51.49 -23 00 56.1	| EL, AZ: 55.4  87.4 	| Mag: 13.0 	| moon_dis: 100.6
472 Roma (A901 NA)                 	| RA, DEC 14 53 54.45 +01 29 44.4	| EL, AZ: 55.4  26.6 	| Mag: 13.9 	| moon_dis: 73.2 
238 Hypatia (A884 NA)              	| RA, DEC 12 45 48.15 +00 38 43.2	| EL, AZ: 55.1  328.7	| Mag: 14.0 	| moon_dis: 42.4 
173 Ino (A877 PA)                  	| RA, DEC 15 12 12.78 -00 11 46.7	| EL, AZ: 54.9  35.1 	| Mag: 13.5 	| moon_dis: 78.0 
122 Gerda (A872 OA)                	| RA, DEC 12 24 54.45 -01 56 24.7	| EL, AZ: 54.7  318.6	| Mag: 13.7 	| moon_dis: 38.4 
48 Doris (A857 SA)                 	| RA, DEC 16 18 58.64 -13 04 44.1	| EL, AZ: 52.6  70.8 	| Mag: 12.5 	| moon_dis: 97.0 
97 Klotho (A868 DB)                	| RA, DEC 15 56 06.13 -05 22 12.7	| EL, AZ: 52.2  55.1 	| Mag: 13.4 	| moon_dis: 89.8 
28 Bellona (A854 EA)               	| RA, DEC 16 10 48.62 -09 26 47.6	| EL, AZ: 52.1  64.0 	| Mag: 12.2 	| moon_dis: 94.3 
119 Althaea (A872 GA)              	| RA, DEC 16 27 28.24 -14 25 44.4	| EL, AZ: 51.6  74.4 	| Mag: 12.6 	| moon_dis: 99.2 
120 Lachesis (A872 GB)             	| RA, DEC 11 52 55.08 -03 27 25.2	| EL, AZ: 50.8  306.8	| Mag: 13.6 	| moon_dis: 31.9 
159 Aemilia (A876 BA)              	| RA, DEC 16 35 24.70 -15 37 20.4	| EL, AZ: 50.5  77.6 	| Mag: 13.7 	| moon_dis: 101.3
412 Elisabetha (A896 AB)           	| RA, DEC 16 33 40.44 -14 26 35.7	| EL, AZ: 50.3  75.6 	| Mag: 13.5 	| moon_dis: 100.7
304 Olga (A891 CB)                 	| RA, DEC 15 24 17.60 +04 02 07.5	| EL, AZ: 49.7  35.9 	| Mag: 14.0 	| moon_dis: 80.1 
210 Isabella (A879 VA)             	| RA, DEC 17 01 29.70 -29 02 30.8	| EL, AZ: 49.7  100.5	| Mag: 14.0 	| moon_dis: 109.0
660 Crescentia (A908 AN)           	| RA, DEC 15 39 10.53 +02 12 30.6	| EL, AZ: 49.2  42.2 	| Mag: 13.1 	| moon_dis: 84.1 
270 Anahita (A887 TA)              	| RA, DEC 11 50 56.79 -00 53 36.8	| EL, AZ: 48.6  308.9	| Mag: 14.0 	| moon_dis: 30.3 
65 Cybele (A861 EB)                	| RA, DEC 12 02 15.46 +02 07 31.5	| EL, AZ: 48.1  315.1	| Mag: 13.1 	| moon_dis: 31.6 
19 Fortuna (A852 QA)               	| RA, DEC 11 52 47.97 +00 24 31.3	| EL, AZ: 47.9  310.8	| Mag: 13.2 	| moon_dis: 30.1 
231 Vindobona (A882 RB)            	| RA, DEC 17 12 54.67 -30 51 31.1	| EL, AZ: 47.7  104.0	| Mag: 13.4 	| moon_dis: 111.6
35 Leukothea (A855 HA)             	| RA, DEC 11 41 35.53 -01 21 06.1	| EL, AZ: 47.3  305.9	| Mag: 13.7 	| moon_dis: 28.4 
276 Adelheid (A888 HA)             	| RA, DEC 16 06 36.97 -00 56 18.4	| EL, AZ: 47.2  53.2 	| Mag: 14.0 	| moon_dis: 91.4 
14 Irene (A851 KA)                 	| RA, DEC 17 07 49.71 -24 22 47.8	| EL, AZ: 47.0  94.4 	| Mag: 10.3 	| moon_dis: 110.1
387 Aquitania (A894 EC)            	| RA, DEC 13 04 55.59 +12 34 59.9	| EL, AZ: 45.7  342.4	| Mag: 12.4 	| moon_dis: 44.7 
258 Tyche (A886 JA)                	| RA, DEC 16 30 26.69 -04 21 24.5	| EL, AZ: 45.2  62.6 	| Mag: 12.4 	| moon_dis: 98.0 
814 Tauris (A916 AE)               	| RA, DEC 17 19 31.58 -24 07 52.7	| EL, AZ: 44.4  95.3 	| Mag: 13.8 	| moon_dis: 112.7
148 Gallia (A875 PA)               	| RA, DEC 14 58 41.88 +13 10 22.8	| EL, AZ: 44.1  21.8 	| Mag: 13.3 	| moon_dis: 72.1 
88 Thisbe (A866 LA)                	| RA, DEC 11 23 30.56 -01 03 26.1	| EL, AZ: 43.8  301.7	| Mag: 13.2 	| moon_dis: 24.4 
199 Byblis (A879 NA)               	| RA, DEC 17 25 00.97 -25 38 59.3	| EL, AZ: 43.7  97.8 	| Mag: 12.4 	| moon_dis: 114.0
372 Palma (A893 QB)                	| RA, DEC 17 46 12.86 -48 30 49.0	| EL, AZ: 42.9  130.0	| Mag: 13.4 	| moon_dis: 116.6
7 Iris (A847 PA)                   	| RA, DEC 11 18 28.34 -00 27 00.1	| EL, AZ: 42.5  301.2	| Mag: 11.4 	| moon_dis: 23.1 
797 Montana (A914 WG)              	| RA, DEC 17 26 01.01 -18 50 03.2	| EL, AZ: 41.0  89.3 	| Mag: 13.9 	| moon_dis: 113.8
527 Euryanthe (A904 FC)            	| RA, DEC 17 21 39.34 -16 12 38.0	| EL, AZ: 40.9  85.6 	| Mag: 14.0 	| moon_dis: 112.4
31 Euphrosyne (A854 RA)            	| RA, DEC 18 00 40.53 -55 17 54.3	| EL, AZ: 40.3  138.9	| Mag: 12.7 	| moon_dis: 117.0
160 Una (A876 DA)                  	| RA, DEC 17 51 21.64 -29 07 52.8	| EL, AZ: 39.2  104.6	| Mag: 13.4 	| moon_dis: 119.9
800 Kressmannia (A915 FG)          	| RA, DEC 17 55 31.62 -29 42 30.9	| EL, AZ: 38.5  105.6	| Mag: 12.9 	| moon_dis: 120.8
11 Parthenope (A850 JA)            	| RA, DEC 11 25 30.18 +07 32 07.2	| EL, AZ: 38.1  310.2	| Mag: 12.2 	| moon_dis: 21.2 
